"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "comment", "blank", "total"
"e:\todo-backend\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 1, 3
"e:\todo-backend\app.ts", "TypeScript", 0, 0, 0, 29, 0, 5, 11, 45
"e:\todo-backend\controllers\dummy.ts", "TypeScript", 0, 0, 0, 62, 0, 11, 21, 94
"e:\todo-backend\controllers\dummy2.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 8, 30
"e:\todo-backend\controllers\todo.controller.ts", "TypeScript", 0, 0, 0, 79, 0, 5, 14, 98
"e:\todo-backend\controllers\user.controller.ts", "TypeScript", 0, 0, 0, 123, 0, 3, 19, 145
"e:\todo-backend\dist\app.js", "JavaScript", 0, 0, 0, 0, 31, 6, 1, 38
"e:\todo-backend\dist\controllers\dummy.js", "JavaScript", 0, 0, 0, 0, 51, 10, 1, 62
"e:\todo-backend\dist\controllers\dummy2.js", "JavaScript", 0, 0, 0, 0, 17, 3, 1, 21
"e:\todo-backend\dist\controllers\todo.controller.js", "JavaScript", 0, 0, 0, 0, 31, 0, 1, 32
"e:\todo-backend\dist\controllers\user.controller.js", "JavaScript", 0, 0, 0, 0, 112, 3, 1, 116
"e:\todo-backend\dist\handlers\jwt.handler.js", "JavaScript", 0, 0, 0, 0, 20, 1, 1, 22
"e:\todo-backend\dist\index.js", "JavaScript", 0, 0, 0, 0, 11, 1, 1, 13
"e:\todo-backend\dist\middleware\auth.middleware.js", "JavaScript", 0, 0, 0, 0, 20, 0, 1, 21
"e:\todo-backend\dist\models\task.model.js", "JavaScript", 0, 0, 0, 0, 23, 1, 1, 25
"e:\todo-backend\dist\models\tasklist.model.js", "JavaScript", 0, 0, 0, 0, 20, 0, 1, 21
"e:\todo-backend\dist\models\user.model.js", "JavaScript", 0, 0, 0, 0, 18, 5, 1, 24
"e:\todo-backend\dist\routers\index.js", "JavaScript", 0, 0, 0, 0, 32, 3, 1, 36
"e:\todo-backend\dist\routers\todo.router.js", "JavaScript", 0, 0, 0, 0, 7, 0, 1, 8
"e:\todo-backend\dist\routers\user.router.js", "JavaScript", 0, 0, 0, 0, 41, 0, 1, 42
"e:\todo-backend\dist\services\task.service.js", "JavaScript", 0, 0, 0, 0, 42, 0, 1, 43
"e:\todo-backend\dist\services\taskList.service.js", "JavaScript", 0, 0, 0, 0, 42, 0, 1, 43
"e:\todo-backend\dist\services\user.service.js", "JavaScript", 0, 0, 0, 0, 42, 2, 1, 45
"e:\todo-backend\dist\utils\jwt.utils.js", "JavaScript", 0, 0, 0, 0, 22, 1, 1, 24
"e:\todo-backend\handlers\jwt.handler.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 6, 29
"e:\todo-backend\index.ts", "TypeScript", 0, 0, 0, 6, 0, 1, 3, 10
"e:\todo-backend\jest.config.js", "JavaScript", 0, 0, 0, 0, 5, 1, 1, 7
"e:\todo-backend\middleware\auth.middleware.ts", "TypeScript", 0, 0, 0, 22, 0, 1, 5, 28
"e:\todo-backend\models\task.model.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 6, 38
"e:\todo-backend\models\tasklist.model.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 6, 26
"e:\todo-backend\models\user.model.ts", "TypeScript", 0, 0, 0, 18, 0, 5, 4, 27
"e:\todo-backend\package-lock.json", "JSON", 5613, 0, 0, 0, 0, 0, 1, 5614
"e:\todo-backend\package.json", "JSON", 43, 0, 0, 0, 0, 0, 1, 44
"e:\todo-backend\routers\todo.router.ts", "TypeScript", 0, 0, 0, 14, 0, 2, 6, 22
"e:\todo-backend\routers\user.router.ts", "TypeScript", 0, 0, 0, 30, 0, 1, 12, 43
"e:\todo-backend\services\todo.service.ts", "TypeScript", 0, 0, 0, 104, 0, 2, 19, 125
"e:\todo-backend\services\user.service.ts", "TypeScript", 0, 0, 0, 26, 0, 3, 7, 36
"e:\todo-backend\test\test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"e:\todo-backend\to-do\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 1, 5
"e:\todo-backend\tsconfig.json", "JSON with Comments", 0, 28, 0, 0, 0, 0, 1, 29
"e:\todo-backend\types\types.d.ts", "TypeScript", 0, 0, 0, 8, 0, 1, 2, 11
"e:\todo-backend\utils\jwt.utils.ts", "TypeScript", 0, 0, 0, 29, 0, 1, 7, 37
"Total", "-", 5656, 28, 6, 604, 587, 121, 181, 7183
